Código	Nome da Propriedade	Código SIGEF/SNCI	Município	Área_ha	Codigo Único	Lat	Lon
FRP1859	FAZENDA MONTANA LOTE 45A E OUTROS	9014580207700	Formosa do Rio Preto	820,3	9014580207700B	-11,288146	-46,051636
FRP1860	FAZENDA BAÍA BLANCA (GLEBA 37)	3010860250973	Formosa do Rio Preto	291,3	3010860250973	-11,288177	-46,547202
FRP1861	FAZENDA ESTRONDO - GLEBA N	0000600690000	Formosa do Rio Preto	2926,3	0000600690000	-11,289759	-45,803222
FRP1862	FAZENDA PIROMBU VII E OUTRA	0000606215010	Formosa do Rio Preto	857,3	0000606215010	-11,289853	-45,715129
FRP1863	FAZENDA UNIÃO II	9501577201600	Formosa do Rio Preto	87,3	9501577201600	-11,290090	-45,697104
FRP1864	FAZENDA SANTA CLARA GLEBA A	9500253053831	Formosa do Rio Preto	329,5	9500253053831C	-11,292582	-45,345415
FRP1865	FAZENDA OURO BRANCO	0000437809607	Formosa do Rio Preto	261,4	0000437809607	-11,293021	-45,495177
FRP1866	FAZENDA ESPIRITO SANTO	9502204822695	Formosa do Rio Preto	829,2	9502204822695	-11,294364	-45,771772
FRP1867	FAZENDA NOSSA SENHORA APARECIDA LOTE E 2	9501908022710	Formosa do Rio Preto	242,0	9501908022710	-11,296466	-45,487339
FRP1868	FAZENDA MONTANA LOTE 45A E OUTROS	9014580207700	Formosa do Rio Preto	790,5	9014580207700C	-11,297202	-46,069178
FRP1869	FAZENDA ESPERANÇA I	9500411607688	Formosa do Rio Preto	200,1	9500411607688	-11,297606	-45,555857
FRP1870	FAZENDA UNIVERSO XIV	0000600108395	Formosa do Rio Preto	508,1	0000600108395	-11,298266	-45,391280
FRP1871	FAZENDA GUARAUNA	9500920214407	Formosa do Rio Preto	393,3	9500920214407	-11,299778	-46,550542
FRP1872	FAZENDA COUROS	3010860067265	Formosa do Rio Preto	889,1	3010860067265	-11,300890	-45,134842
FRP1873	FAZENDA PARAÍSO	9251601011099	Formosa do Rio Preto	402,6	9251601011099	-11,301798	-46,574024
FRP1874	FAZENDA ANALICE E LOTES	0000600662228	Formosa do Rio Preto	5382,6	0000600662228	-11,302326	-45,990727
FRP1875	FAZENDA SATO	0000600505041	Formosa do Rio Preto	1072,8	0000600505041	-11,302773	-45,672930
FRP1876	PROJETO AGRÍCOLA ESTRONDO GLEBA C	0000600687565	Formosa do Rio Preto	113,5	0000600687565C	-11,303568	-46,204618
FRP1877	FAZENDA SANTA CLARA	3010860013505	Formosa do Rio Preto	644,9	3010860013505A	-11,303738	-45,337076
FRP1878	FAZENDA CANINDÉ I, II, III E IV	3010860000195	Formosa do Rio Preto	710,0	3010860000195B	-11,303833	-45,093163
FRP1879	FAZENDA TITÃ	7130150156013	Formosa do Rio Preto	171,3	7130150156013	-11,303836	-45,580695
FRP1880	FAZENDA COSTA	3010860015540	Formosa do Rio Preto	2230,8	3010860015540	-11,303931	-45,069605
FRP1881	FAZENDA CANINDÉ I, II, III E IV	3010860000195	Formosa do Rio Preto	693,8	3010860000195C	-11,304939	-45,114159
FRP1882	FAZENDA SÃO MIGUEL	9501650892811	Formosa do Rio Preto	119,2	9501650892811	-11,305918	-45,575499
FRP1883	FAZENDA ICHIDA	0000600504908	Formosa do Rio Preto	321,1	0000600504908	-11,306903	-45,585672
FRP1884	FAZENDA SALOBRO	2240650557431	Formosa do Rio Preto	334,7	2240650557431	-11,307204	-45,005013
FRP1885	FAZENDA MONTANA LOTE 45A E OUTROS	9014580207700	Formosa do Rio Preto	671,5	9014580207700D	-11,307232	-46,016994
FRP1886	FAZENDA SALTO	9510306283287	Formosa do Rio Preto	2309,9	9510306283287A	-11,307387	-45,440148
FRP1887	FAZENDA TUPARENDI	9502111819007	Formosa do Rio Preto	955,3	9502111819007	-11,307609	-45,808023
FRP1888	FAZENDA PARANA	3010860228102	Formosa do Rio Preto	1100,1	3010860228102	-11,307803	-45,562692
FRP1889	FAZENDA SANTA FÉ	0000194933258	Formosa do Rio Preto	990,2	0000194933258	-11,308231	-45,727817
FRP1890	FAZENDA MONTANA LOTES 45A E OUTROS	9014580207700	Formosa do Rio Preto	5589,2	9014580207700E	-11,308853	-46,038662
FRP1891	FAZENDA SANTA CLARA	3010860013505	Formosa do Rio Preto	659,6	3010860013505B	-11,308873	-45,318253
FRP1892	FAZENDA ARENA	9999035855726	Formosa do Rio Preto	321,1	9999035855726	-11,310715	-45,591845
FRP1893	FAZENDA ESTRONDO - GLEBA D	0000600687999	Formosa do Rio Preto	844,7	0000600687999A	-11,311652	-46,299204
FRP1894	FAZENDA AUSTRÁLIA	9060850076095	Formosa do Rio Preto	766,6	9060850076095A	-11,311684	-46,151969
FRP1895	FAZENDA BURITIS	3010860256661	Formosa do Rio Preto	409,7	3010860256661	-11,311961	-46,553746
FRP1896	FAZENDA CACHOEIRINHA	9510646202389	Formosa do Rio Preto	987,2	9510646202389A	-11,313595	-45,171090
FRP1897	FAZENDA TANGARÁ II	0000511622212	Formosa do Rio Preto	310,6	0000511622212A	-11,313662	-45,680443
FRP1898	PROJETO AGRÍCOLA ESTRONDO - GLEBA A	0000600687484	Formosa do Rio Preto	4450,1	0000600687484	-11,313900	-46,455576
FRP1899	FAZENDA MORENA	9999035857770	Formosa do Rio Preto	321,0	9999035857770	-11,314321	-45,597697
FRP1900	FAZENDA NOSSA SENHORA APARECIDA LOTE E 1	0000437825050	Formosa do Rio Preto	374,6	0000437825050	-11,314913	-45,517114
FRP1901	FAZENDA MONTANA LOTE 45A E OUTROS	9014580207700	Formosa do Rio Preto	800,3	9014580207700F	-11,315257	-46,034706
FRP1902	FAZENDA AUSTRÁLIA	9060850076095	Formosa do Rio Preto	168,7	9060850076095B	-11,315640	-46,209518
FRP1903	FAZENDA SANTA CLARA	3010860013505	Formosa do Rio Preto	708,7	3010860013505C	-11,316602	-45,310803
FRP1904	FAZENDA LONDRINA	3010860158228	Formosa do Rio Preto	603,1	3010860158228	-11,316996	-45,632754
FRP1905	FAZENDA NATAL I E II	0000357068681	Formosa do Rio Preto	203,8	0000357068681	-11,317345	-45,833075
FRP1906	FAZENDA ESPERANÇA II	9500411683864	Formosa do Rio Preto	385,7	9500411683864	-11,317385	-45,541179
FRP1907	FAZENDA UNIVERSO XVII	9999976465202	Formosa do Rio Preto	509,4	9999976465202	-11,317658	-45,371178
FRP1908	FAZENDA TANGARÁ II	0000511622212	Formosa do Rio Preto	305,4	0000511622212B	-11,318070	-45,684776
FRP1909	FAZENDATOLEDOIII	9501143106111	Formosa do Rio Preto	107,9	9501143106111	-11,318356	-45,843891
FRP1910	FAZENDA MORRO SANTO III	0000199290266	Formosa do Rio Preto	5318,6	0000199290266	-11,318380	-46,526568
FRP1911	FAZENDA CERES	7130150156102	Formosa do Rio Preto	465,2	7130150156102	-11,318588	-45,604443
FRP1912	FAZENDA PIROMBU I E OUTRAS	9500763671173	Formosa do Rio Preto	1572,0	9500763671173	-11,319834	-45,746588
FRP1913	FAZENDA UNIVERSO XVIII	600108123	Formosa do Rio Preto	664,9	600108123	-11,320027	-45,383426
FRP1914	FAZENDA TOLEDO II	9501143106200	Formosa do Rio Preto	141,1	9501143106200	-11,321405	-45,851791
FRP1915	FAZENDA TANGARÁ I	0000511622808	Formosa do Rio Preto	326,3	0000511622808A	-11,321637	-45,689845
